wissen	weiß	wüsste	haben_gewusst
erbieten	erbietet	erböte	haben_erboten
anbringen	bringt an	brächte an	haben_angebracht
empfehlen	empfiehlt	empfähle	haben_empfohlen
abkommen	kommt ab	käme ab	sein_abgekommen
vorkommen	kommt vor	käme vor	sein_vorgekommen
aufziehen	zieht auf	zöge auf	haben_aufgezogen
aufzeigen	zeigt auf	zeigte auf	haben_aufgezeigt
eingehen	geht ein	ginge ein	sein_eingegangen
durchführen	führt durch	führte durch	haben_durchgeführt
zerlegen	zerlegt	zerlegte	haben_zerlegt
warten	wartet	wartete	haben_gewartet
empfinden	empfindet	empfände	haben_empfunden
zufriedenstellen	stellt zufrieden	stellte zufrieden	haben_zufriedengestellt
ertragen	erträgt	ertrüge	haben_ertragen
wegnehmen	nimmt weg	nähme weg	haben_weggenommen
bestellen	bestellt	bestellte	haben_bestellt
anzeigen	zeigt an	zeigte an	haben_angezeigt
hinausfliegen	fliegt hinaus	flöge hinaus	sein_hinausgeflogen
gehören	gehört	gehörte	haben_gehört
ausführen	führt aus	führte aus	haben_ausgeführt
beschreiben	beschreibt	beschriebe	haben_beschrieben
fortbilden	bildet fort	bildete fort	haben_fortgebildet
abschaffen	schafft ab	schaffte ab	haben_abgeschafft
fortfallen	fällt fort	fiele fort	sein_fortgefallen
fortbleiben	bleibt fort	bliebe fort	sein_fortgeblieben
fortschreiben	schreibt fort	schriebe fort	haben_fortgeschrieben
beisetzen	setzt bei	setzte bei	haben_beigesetzt
zerreden	zerredet	zerredete	haben_zerredet
beibringen	bringt bei	brächte bei	haben_beigebracht
beistehen	steht bei	stände bei	haben_beigestanden
eintragen	trägt ein	trüge ein	haben_eingetragen
veranlassen	veranlasst	veranlasste	haben_veranlasst
ausschalten	schaltet aus	schaltete aus	haben_ausgeschaltet
einschalten	schaltet ein	schaltete ein	haben_eingeschaltet
zulassen	lässt zu	ließe zu	haben_zugelassen
ablegen	legt ab	legte ab	haben_abgelegt
nachdenken	denkt nach	dächte nach	haben_nachgedacht
hervorbringen	bringt hervor	brächte hervor	haben_hervorgebracht
vollziehen	vollzieht	vollzöge	haben_vollzogen
aussitzen	sitzt aus	säße aus	haben_ausgesessen
einbeziehen	bezieht ein	bezöge ein	haben_einbezogen
überkommen	überkommt	überkäme	haben_überkommen
zutragen	trägt zu	trüge zu	haben_zugetragen
umschließen	umschließt	umschlösse	haben_umschlossen
vornehmen	nimmt vor	nähme vor	haben_vorgenommen
vorsehen	sieht vor	sähe vor	haben_vorgesehen
abwarten	wartet ab	wartete ab	haben_abgewartet
auskommen	kommt aus	käme aus	sein_ausgekommen
erwarten	erwartet	erwartete	haben_erwartet
verziehen	verzieht	verzöge	haben_verzogen
überlassen	überlässt	überließe	haben_überlassen
ablassen	lässt ab	ließe ab	haben_abgelassen
anlassen	lässt an	ließe an	haben_angelassen
ausgeben	gibt aus	gäbe aus	haben_ausgegeben
bearbeiten	bearbeitet	bearbeitete	haben_bearbeitet
auflassen	lässt auf	ließe auf	haben_aufgelassen
auslassen	lässt aus	ließe aus	haben_ausgelassen
umgehen	umgehet	umginge	haben_umgangen
durchlassen	lässt durch	ließe durch	haben_durchgelassen
einlassen	lässt ein	ließe ein	haben_eingelassen
herausarbeiten	arbeitet heraus	arbeitete heraus	haben_herausgearbeitet
aussagen	sagt aus	sagte aus	haben_ausgesagt
auftragen	trägt auf	trüge auf	haben_aufgetragen
belassen	belässt	beließe	haben_belassen
unterschreiben	unterschreibt	unterschriebe	haben_unterschrieben
fehlen	fehlt	fehlte	haben_gefehlt
erlassen	erlässt	erließe	haben_erlassen
frei lassen	lässt frei	ließe frei	haben_frei gelassen
freilassen	lässt frei	ließe frei	haben_freigelassen
verpflegen	verpflegt	verpflegte	haben_verpflegt
anerkennen	erkennt an	erkennte an	haben_anerkannt
abstellen	stellt ab	stellte ab	haben_abgestellt
umbringen	bringt um	brächte um	haben_umgebracht
entführen	entführt	entführte	haben_entführt
übernehmen	übernimmt	übernähme	haben_übernommen
besetzen	besetzt	besetzte	haben_besetzt
ausmachen	macht aus	machte aus	haben_ausgemacht
untergehen	geht unter	ginge unter	sein_untergegangen
festhalten	hält fest	hielte fest	haben_festgehalten
beilegen	legt bei	legte bei	haben_beigelegt
herauskommen	kommt heraus	käme heraus	sein_herausgekommen
durchhalten	hält durch	hielte durch	haben_durchgehalten
einschließen	schließt ein	schlösse ein	haben_eingeschlossen
hinnehmen	nimmt hin	nähme hin	haben_hingenommen
beantragen	beantragt	beantragte	haben_beantragt
ausarbeiten	arbeitet aus	arbeitete aus	haben_ausgearbeitet
erschließen	erschließt	erschlösse	haben_erschlossen
verzeihen	verzeiht	verziehe	haben_verziehen
verfolgen	verfolgt	verfolgte	haben_verfolgt
teilnehmen	nimmt teil	nähme teil	haben_teilgenommen
verschließen	verschließt	verschlösse	haben_verschlossen
umsetzen	setzt um	setzte um	haben_umgesetzt
festsetzen	setzt fest	setzte fest	haben_festgesetzt
verfallen	verfällt	verfiele	sein_verfallen
aufmachen	macht auf	machte auf	haben_aufgemacht
hineindenken	denkt hinein	dächte hinein	haben_hineingedacht
reinziehen	zieht rein	zöge rein	haben_reingezogen
auffallen	fällt auf	fiele auf	sein_aufgefallen
nachsagen	sagt nach	sagte nach	haben_nachgesagt
vorziehen	zieht vor	zöge vor	haben_vorgezogen
einsehen	sieht ein	sähe ein	haben_eingesehen
